subset,metric,contrast,n,difference,ci95_low,ci95_high
eligible,brier,pcr6_plus_minus_pcr6,428,0.02112196380077666,0.017728785581668894,0.024729143208370934
eligible,exact_set,pcr6_plus_minus_pcr6,428,-0.002336448598130841,-0.007009345794392523,0.0
eligible,set_f1,pcr6_plus_minus_pcr6,428,-1.2969895147490146e-19,-0.002336448598130841,0.002336448598130841
applicability,brier,pcr6_plus_minus_pcr6,260,0.02748667859490972,0.022782726694916055,0.03273166851607577
applicability,exact_set,pcr6_plus_minus_pcr6,260,-0.0038461538461538464,-0.011538461538461539,0.0
applicability,set_f1,pcr6_plus_minus_pcr6,260,-2.1350442781253012e-19,-0.0038461538461538464,0.0038461538461538464
