subset,rule,n,exact_set,set_f1,brier,nonspecificity
eligible,dempster,428,0.5817757009345794,0.7996105919003116,0.29980271324717317,0.5276162570340234
eligible,pcr6,428,0.5841121495327103,0.8003894080996885,0.2363021437839815,0.7276585678834595
eligible,pcr6_plus,428,0.5817757009345794,0.8003894080996885,0.25742410758475814,0.5921251917814871
applicability,dempster,260,0.48846153846153845,0.7705128205128204,0.3263317956735396,0.5599829924466055
applicability,pcr6,260,0.49230769230769234,0.7717948717948717,0.2353634142170722,0.8541728264421841
applicability,pcr6_plus,260,0.48846153846153845,0.7717948717948718,0.2628500928119819,0.6770768000793599
