item_id,condition,rule,truth,prediction,correct,confidence,brier,nll,nonspecificity,invariance_tv,undefined
0,independent_clean,dempster,a3,a3,1,0.9928087309087319,7.118932149013485e-05,0.007217250903241086,0.015817622000065982,nan,0
0,independent_clean,pcr6,a3,a3,1,0.9928087309087319,7.118932149013485e-05,0.007217250903241086,0.015817622000065982,nan,0
0,independent_clean,pcr6_plus,a3,a3,1,0.9928087309087319,7.118932149013485e-05,0.007217250903241086,0.015817622000065982,nan,0
0,partial_ignorance_conflict,dempster,a3,a3,1,0.7717627286105319,0.08295630177698306,0.25907812255734763,0.06522421155330024,nan,0
0,partial_ignorance_conflict,pcr6,a3,a3,1,0.5666699105476694,0.2652816836743378,0.5679783131264371,0.49456786538996206,nan,0
0,partial_ignorance_conflict,pcr6_plus,a3,a3,1,0.6171692245621974,0.21640109020234025,0.48261202272693854,0.2337254186598659,nan,0
0,vacuous_source_injection,dempster,a3,a3,1,0.7717627286105319,0.08295630177698306,0.25907812255734763,0.06522421155330024,0.0,0
0,vacuous_source_injection,pcr6,a3,a3,1,0.48210251226055073,0.3649559449589037,0.7295985065064556,0.9220592116117465,0.08456739828711864,0
0,vacuous_source_injection,pcr6_plus,a3,a3,1,0.6171692245621974,0.21640109020234025,0.48261202272693854,0.2337254186598659,0.0,0
0,near_vacuous_source_injection,dempster,a3,a3,1,0.7712691188401118,0.08314833291894427,0.259717914649874,0.06518249496490187,nan,0
0,near_vacuous_source_injection,pcr6,a3,a3,1,0.4873281158495582,0.358042918186572,0.7188176335888916,0.8906153330718724,nan,0
0,near_vacuous_source_injection,pcr6_plus,a3,a3,1,0.6160574353722169,0.21708411761650562,0.4844150805545132,0.23422981448337557,nan,0
1,independent_clean,dempster,a2,a2,1,0.9949506249264072,3.54253281125859e-05,0.005062166244356009,0.011008273505987574,nan,0
1,independent_clean,pcr6,a2,a2,1,0.9949506249264072,3.54253281125859e-05,0.005062166244356009,0.011008273505987574,nan,0
1,independent_clean,pcr6_plus,a2,a2,1,0.9949506249264072,3.54253281125859e-05,0.005062166244356009,0.011008273505987574,nan,0
1,partial_ignorance_conflict,dempster,a2,a2,1,0.6584988622154787,0.19146165560292475,0.41779248564315097,0.09760447408279253,nan,0
1,partial_ignorance_conflict,pcr6,a2,a2,1,0.5179272863994726,0.33468875164566575,0.6579204203221622,0.5472832674124254,nan,0
1,partial_ignorance_conflict,pcr6_plus,a2,a2,1,0.5727024030798745,0.28169854455765186,0.5573890635375676,0.2244922472696929,nan,0
1,vacuous_source_injection,dempster,a2,a2,1,0.6584988622154787,0.19146165560292475,0.41779248564315097,0.09760447408279253,0.0,0
1,vacuous_source_injection,pcr6,a2,a2,1,0.44607121680394846,0.42199466829614274,0.807276660776777,0.9520024915338529,0.08158199596175755,0
1,vacuous_source_injection,pcr6_plus,a2,a2,1,0.5727024030798745,0.28169854455765186,0.5573890635375676,0.2244922472696929,0.0,0
1,near_vacuous_source_injection,dempster,a2,a2,1,0.6578126240083643,0.19179053896236217,0.41883515415507566,0.09750275800833254,nan,0
1,near_vacuous_source_injection,pcr6,a2,a2,1,0.4504648579108201,0.4159996837604651,0.7974752118336627,0.9227367933606059,nan,0
1,near_vacuous_source_injection,pcr6_plus,a2,a2,1,0.5716688524443768,0.28225114778679206,0.5591953845396558,0.22494107448585263,nan,0
2,independent_clean,dempster,a1,a1,1,0.9954392405624009,2.8097154752719217e-05,0.004571191431550682,0.009961084647870082,nan,0
2,independent_clean,pcr6,a1,a1,1,0.9954392405624009,2.8097154752719217e-05,0.004571191431550682,0.009961084647870082,nan,0
2,independent_clean,pcr6_plus,a1,a1,1,0.9954392405624009,2.8097154752719217e-05,0.004571191431550682,0.009961084647870082,nan,0
2,partial_ignorance_conflict,dempster,a1,a1,1,0.6212579409925559,0.21779559558423603,0.47600891937121104,0.11376685134332963,nan,0
2,partial_ignorance_conflict,pcr6,a1,a1,1,0.5269731074941579,0.3156096314319913,0.6406057611656703,0.551348487874561,nan,0
2,partial_ignorance_conflict,pcr6_plus,a1,a1,1,0.5812013154189728,0.26008785227729003,0.5426580840074747,0.24154669586199531,nan,0
2,vacuous_source_injection,dempster,a1,a1,1,0.6212579409925559,0.21779559558423603,0.47600891937121104,0.11376685134332963,0.0,0
2,vacuous_source_injection,pcr6,a1,a1,1,0.44970101871119994,0.4124002070526472,0.799172319895166,0.9668910051359012,0.07727208878295802,0
2,vacuous_source_injection,pcr6_plus,a1,a1,1,0.5812013154189728,0.26008785227729003,0.5426580840074747,0.24154669586199531,0.0,0
2,near_vacuous_source_injection,dempster,a1,a1,1,0.6207056438689212,0.2180926401316661,0.47689831285548595,0.1136657128296528,nan,0
2,near_vacuous_source_injection,pcr6,a1,a1,1,0.45474529332250546,0.40531928775502624,0.7880178116704405,0.9363874520826831,nan,0
2,near_vacuous_source_injection,pcr6_plus,a1,a1,1,0.5802051531156464,0.2606420586740289,0.5443735257147533,0.24207961551371293,nan,0
3,independent_clean,dempster,a2,a2,1,0.9940371372060581,4.830610312942929e-05,0.005980711649177824,0.013169843275531175,nan,0
3,independent_clean,pcr6,a2,a2,1,0.9940371372060581,4.830610312942929e-05,0.005980711649177824,0.013169843275531175,nan,0
3,independent_clean,pcr6_plus,a2,a2,1,0.9940371372060581,4.830610312942929e-05,0.005980711649177824,0.013169843275531175,nan,0
3,partial_ignorance_conflict,dempster,a2,a2,1,0.4460761517780186,0.46655299730298094,0.8072655976402503,0.15798910729191842,nan,0
3,partial_ignorance_conflict,pcr6,a2,a2,1,0.4942852910148129,0.36923736290410336,0.7046424163144603,0.5094080300890075,nan,0
3,partial_ignorance_conflict,pcr6_plus,a2,a2,1,0.5326594098663225,0.3321101492823509,0.6298730649468857,0.23717703622071454,nan,0
3,vacuous_source_injection,dempster,a2,a2,1,0.4460761517780186,0.46655299730298094,0.8072655976402503,0.15798910729191842,0.0,0
3,vacuous_source_injection,pcr6,a2,a2,1,0.4219070155272545,0.459942613394793,0.8629703315775453,0.9449426392512784,0.08241547828265491,0
3,vacuous_source_injection,pcr6_plus,a2,a2,1,0.5326594098663225,0.3321101492823509,0.6298730649468857,0.23717703622071454,0.0,0
3,near_vacuous_source_injection,dempster,a2,a2,1,0.44564055200281255,0.4667371699832791,0.808242589117494,0.15783482865732412,nan,0
3,near_vacuous_source_injection,pcr6,a2,a2,1,0.42715785703442877,0.4524978263444005,0.8506016454662882,0.9111048484036804,nan,0
3,near_vacuous_source_injection,pcr6_plus,a2,a2,1,0.5318669215671199,0.3324995529856462,0.6313619683628053,0.2374314078183299,nan,0
4,independent_clean,dempster,a2,a2,1,0.9950757010995984,3.293905378827699e-05,0.004936463210461268,0.01082097621793102,nan,0
4,independent_clean,pcr6,a2,a2,1,0.9950757010995984,3.293905378827699e-05,0.004936463210461268,0.01082097621793102,nan,0
4,independent_clean,pcr6_plus,a2,a2,1,0.9950757010995984,3.293905378827699e-05,0.004936463210461268,0.01082097621793102,nan,0
4,partial_ignorance_conflict,dempster,a2,a2,1,0.6293215042103616,0.24178588125127437,0.46311301739736144,0.0470567204989008,nan,0
4,partial_ignorance_conflict,pcr6,a2,a2,1,0.5292484240664637,0.3201257031679228,0.6362973466447868,0.4662873958253419,nan,0
4,partial_ignorance_conflict,pcr6_plus,a2,a2,1,0.5677676596069002,0.28213344313572364,0.566042993932605,0.2409610680807909,nan,0
4,vacuous_source_injection,dempster,a2,a2,1,0.6293215042103616,0.24178588125127437,0.46311301739736144,0.0470567204989008,0.0,0
4,vacuous_source_injection,pcr6,a2,a2,1,0.45008509946929925,0.4157691868133965,0.7983186041650246,0.9099844524732118,0.08488595442904992,0
4,vacuous_source_injection,pcr6_plus,a2,a2,1,0.5677676596069002,0.28213344313572364,0.566042993932605,0.2409610680807909,0.0,0
4,near_vacuous_source_injection,dempster,a2,a2,1,0.6291576525518003,0.2418540010976163,0.46337341369968665,0.04704446869811435,nan,0
4,near_vacuous_source_injection,pcr6,a2,a2,1,0.4557722146621721,0.40802284976590397,0.7857621235236738,0.8747701649010077,nan,0
4,near_vacuous_source_injection,pcr6_plus,a2,a2,1,0.5669830927979898,0.2825468090078066,0.5674257943974019,0.24134675974139008,nan,0
5,independent_clean,dempster,a1,a1,1,0.997165658705533,1.1000031803763814e-05,0.0028383656458093884,0.006100334211633545,nan,0
5,independent_clean,pcr6,a1,a1,1,0.997165658705533,1.1000031803763814e-05,0.0028383656458093884,0.006100334211633545,nan,0
5,independent_clean,pcr6_plus,a1,a1,1,0.997165658705533,1.1000031803763814e-05,0.0028383656458093884,0.006100334211633545,nan,0
5,partial_ignorance_conflict,dempster,a1,a1,1,0.7559846683764537,0.0910448358029657,0.2797341829335703,0.05853600719410312,nan,0
5,partial_ignorance_conflict,pcr6,a1,a1,1,0.5627654701065941,0.2700405957749872,0.574892309379285,0.47266099723674854,nan,0
