subset,rule,decision,n,exact_set,set_f1,brier
eligible,dempster,betp,428,0.5817757009345794,0.7996105919003116,0.29980271324717317
eligible,dempster,dsmp_epsilon_0.001,428,0.5794392523364486,0.7999999999999999,0.4423251443097996
eligible,dempster,max_belief,428,0.5794392523364486,0.7996105919003116,nan
eligible,dempster,max_plausibility,428,0.5887850467289719,0.8027258566978193,nan
eligible,dempster,min_belief_interval_distance,428,0.5817757009345794,0.7996105919003116,nan
eligible,pcr6,betp,428,0.5841121495327103,0.8003894080996885,0.2363021437839815
eligible,pcr6,dsmp_epsilon_0.001,428,0.5841121495327103,0.8038940809968848,0.42089911615880343
eligible,pcr6,max_belief,428,0.5887850467289719,0.807398753894081,nan
eligible,pcr6,max_plausibility,428,0.5887850467289719,0.8023364485981308,nan
eligible,pcr6,min_belief_interval_distance,428,0.5841121495327103,0.8003894080996885,nan
eligible,pcr6_plus,betp,428,0.5817757009345794,0.8003894080996885,0.25742410758475814
eligible,pcr6_plus,dsmp_epsilon_0.001,428,0.5864485981308412,0.8046728971962617,0.41112017128151845
eligible,pcr6_plus,max_belief,428,0.5934579439252337,0.808956386292835,nan
eligible,pcr6_plus,max_plausibility,428,0.5864485981308412,0.8023364485981308,nan
eligible,pcr6_plus,min_belief_interval_distance,428,0.5817757009345794,0.8003894080996885,nan
applicability,dempster,betp,260,0.48846153846153845,0.7705128205128204,0.3263317956735396
applicability,dempster,dsmp_epsilon_0.001,260,0.4846153846153846,0.7711538461538462,0.4690366358281764
applicability,dempster,max_belief,260,0.4846153846153846,0.7705128205128204,nan
applicability,dempster,max_plausibility,260,0.5,0.7756410256410257,nan
applicability,dempster,min_belief_interval_distance,260,0.48846153846153845,0.7705128205128204,nan
applicability,pcr6,betp,260,0.49230769230769234,0.7717948717948717,0.2353634142170722
applicability,pcr6,dsmp_epsilon_0.001,260,0.49230769230769234,0.7775641025641026,0.4389322427844014
applicability,pcr6,max_belief,260,0.5,0.7833333333333333,nan
applicability,pcr6,max_plausibility,260,0.5,0.775,nan
applicability,pcr6,min_belief_interval_distance,260,0.49230769230769234,0.7717948717948717,nan
applicability,pcr6_plus,betp,260,0.48846153846153845,0.7717948717948718,0.2628500928119819
applicability,pcr6_plus,dsmp_epsilon_0.001,260,0.49615384615384617,0.7788461538461539,0.42785620565777166
applicability,pcr6_plus,max_belief,260,0.5076923076923077,0.7858974358974359,nan
applicability,pcr6_plus,max_plausibility,260,0.49615384615384617,0.775,nan
applicability,pcr6_plus,min_belief_interval_distance,260,0.48846153846153845,0.7717948717948718,nan
